Seed,Density,Execution Time,Path Length,Visited,,,,,,,,Computational
289,0.3775,17.63415337,90,2549,,,,,,,,144.5490434
291,0.3705,27.34661102,98,3966,,,,,,,,145.0271113
292,0.4735,15.45166969,94,2221,,,,,,,,143.7385114
293,0.407,22.85790443,96,3284,,,,,,,,143.6702131
295,0.3515,16.50452614,90,2407,,,,,,,,145.8387826
297,0.384,16.06631279,92,2361,,,,,,,,146.9534442
298,0.359,20.93648911,94,3000,,,,,,,,143.2905003
299,0.4305,17.69399643,90,2533,,,,,,,,143.1559009
300,0.4,13.67878914,96,1999,,,,,,,,146.1386662
303,0.386,18.95499229,94,2713,,,,,,,,143.1285204
304,0.457,20.41983604,96,2952,,,,,,,,144.5653136
305,0.395,16.72935486,90,2457,,,,,,,,146.8675882
307,0.4255,16.82949066,90,2459,,,,,,,,146.1125621
309,0.4265,12.04538345,94,1767,,,,,,,,146.6952055
311,0.4335,14.05072212,94,2059,,,,,,,,146.540511
312,0.437,20.5321312,92,2922,,,,,,,,142.3135266
319,0.4185,17.8964138,90,2592,,,,,,,,144.8334861
321,0.3355,18.7330246,90,2688,,,,,,,,143.4899093
323,0.402,17.1186924,90,2479,,,,,,,,144.8124624
325,0.3685,18.07975769,90,2610,,,,,,,,144.3603418
329,0.409,18.75305176,94,2684,,,,,,,,143.1233718
332,0.377,19.45519447,96,2781,,,,,,,,142.9438294
333,0.3565,19.84119415,90,2847,,,,,,,,143.4893474
334,0.404,17.08030701,92,2523,,,,,,,,147.7139725
336,0.3705,15.87510109,90,2299,,,,,,,,144.8179755
337,0.4765,16.68643951,90,2406,,,,,,,,144.1889385
340,0.3845,16.37411118,90,2382,,,,,,,,145.473545
342,0.372,18.35346222,94,2588,,,,,,,,141.0088172
346,0.3825,17.4164772,92,2555,,,,,,,,146.7001605
347,0.4135,20.55621147,98,2957,,,,,,,,143.8494639
348,0.5195,15.35487175,92,2179,,,,,,,,141.9093585
349,0.413,13.03100586,92,1893,,,,,,,,145.2689087
350,0.3765,15.20085335,90,2168,,,,,,,,142.6235719
351,0.4485,18.0644989,92,2536,,,,,,,,140.3858482
352,0.423,17.17209816,90,2398,,,,,,,,139.645137
354,0.3635,18.17083359,90,2564,,,,,,,,141.1052491
357,0.3805,15.68484306,98,2239,,,,,,,,142.7492766
359,0.4155,27.93192863,102,4006,,,,,,,,143.4201001
362,0.3925,17.90499687,92,2627,,,,,,,,146.7188193
363,0.4285,15.29145241,90,2236,,,,,,,,146.2254821
364,0.4465,14.62554932,90,2019,,,,,,,,138.046097
368,0.557,15.93399048,90,2145,,,,,,,,134.6178788
371,0.522,18.11695099,92,2527,,,,,,,,139.4826316
372,0.3585,17.65656471,90,2526,,,,,,,,143.0629367
375,0.3775,17.33613014,92,2260,,,,,,,,130.3635807
376,0.3765,19.33407784,90,2734,,,,,,,,141.4083476
378,0.3725,17.78554916,94,2579,,,,,,,,145.0053623
379,0.3695,18.66841316,94,2661,,,,,,,,142.5402351
380,0.456,18.18323135,102,2621,,,,,,,,144.1437965
382,0.3395,26.82042122,94,3480,,,,,,,,129.7518772
384,0.492,16.01982117,92,2271,,,,,,,,141.7618821
385,0.372,21.9681263,96,3000,,,,,,,,136.5614873
387,0.371,17.64440536,90,2458,,,,,,,,139.3076134
390,0.435,19.26517487,92,2646,,,,,,,,137.3462747
392,0.428,19.86455917,92,2797,,,,,,,,140.8035273
