Seed,Density,Execution ,Path Length,Visited,,,,,,,,Computational,time mean,time median,op mean,op median,time stdv,op stdv,,,Execution Time
1931,0.385,280.7207108,2,87,,,,,,,,30.99165706,,,,,,,28072.07108,,2.807207108
1932,0.4435,430.1567078,0,87,,,,,,,,20.22518734,,,,,,,43015.67078,,4.301567078
1935,0.415,311.9688034,0,8,,,,,,,,2.564358972,,,,,,,31196.88034,,3.119688034
1937,0.3555,379.6284199,0,104,,,,,,,,27.39520925,,,,,,,37962.84199,,3.796284199
1938,0.4365,393.0616379,0,24,,,,,,,,6.105912581,,,,,,,39306.16379,,3.930616379
1944,0.3875,324.1150379,0,6,,,,,,,,1.851194576,,,,,,,32411.50379,,3.241150379
1946,0.412,372.7202415,20,66,,,,,,,,17.70765112,,,,,,,37272.02415,,3.727202415
1950,0.416,299.6003628,31,93,,,,,,,,31.04135093,,,,,,,29960.03628,,2.996003628
1952,0.376,361.2844944,0,67,,,,,,,,18.54494202,,,,,,,36128.44944,,3.612844944
1953,0.4395,484.0714931,0,88,,,,,,,,18.17913289,,,,,,,48407.14931,,4.840714931
1954,0.463,527.5633335,0,99,,,,,,,,18.76551946,,,,,,,52756.33335,,5.275633335
1955,0.4305,396.3882923,25,104,,,,,,,,26.23690003,,,,,,,39638.82923,,3.963882923
1956,0.3575,316.9426918,0,45,,,,,,,,14.19815038,,,,,,,31694.26918,,3.169426918
1958,0.396,477.7750969,0,131,,,,,,,,27.4187585,,,,,,,47777.50969,,4.777750969
1959,0.3815,407.0937634,37,104,,,,,,,,25.54694013,,,,,,,40709.37634,,4.070937634
1962,0.3545,278.4421444,2,99,,,,,,,,35.55496249,,,,,,,27844.21444,,2.784421444
1963,0.4035,386.4767551,0,36,,,,,,,,9.314919856,,,,,,,38647.67551,,3.864767551
1965,0.3445,236.2370491,31,73,,,,,,,,30.90116486,,,,,,,23623.70491,,2.362370491
1967,0.368,386.6510391,0,104,,,,,,,,26.89763882,,,,,,,38665.10391,,3.866510391
1968,0.414,382.7338219,0,20,,,,,,,,5.225563788,,,,,,,38273.38219,,3.827338219
1969,0.3545,212.4269009,17,61,,,,,,,,28.71576045,,,,,,,21242.69009,,2.124269009
1970,0.399,238.173008,17,81,,,,,,,,34.00889155,,,,,,,23817.3008,,2.38173008
1971,0.419,258.6183548,13,45,,,,,,,,17.40015709,,,,,,,25861.83548,,2.586183548
1972,0.3815,252.3407936,24,82,,,,,,,,32.49573675,,,,,,,25234.07936,,2.523407936
1974,0.345,198.3275414,32,78,,,,,,,,39.32887961,,,,,,,19832.75414,,1.983275414
1975,0.413,389.1410828,0,93,,,,,,,,23.89878738,,,,,,,38914.10828,,3.891410828
1977,0.408,447.0665455,0,89,,,,,,,,19.90755088,,,,,,,44706.65455,,4.470665455
1978,0.374,368.5657978,32,60,,,,,,,,16.27931847,,,,,,,36856.57978,,3.685657978
1983,0.4125,365.8292294,0,77,,,,,,,,21.04807211,,,,,,,36582.92294,,3.658292294
1984,0.353,348.862648,6,111,,,,,,,,31.81767972,,,,,,,34886.2648,,3.48862648
1985,0.403,377.726078,0,82,,,,,,,,21.70885326,,,,,,,37772.6078,,3.77726078
1986,0.393,188.4477139,26,61,,,,,,,,32.36972141,,,,,,,18844.77139,,1.884477139
1988,0.344,341.1512375,0,69,,,,,,,,20.2256338,,,,,,,34115.12375,,3.411512375
1992,0.434,444.4556236,0,65,,,,,,,,14.62463215,,,,,,,44445.56236,,4.444556236
1994,0.3625,308.7842464,20,66,,,,,,,,21.37414741,,,,,,,30878.42464,,3.087842464
1995,0.3735,300.7948399,29,81,,,,,,,,26.92865344,,,,,,,30079.48399,,3.007948399
1996,0.417,449.2976665,0,75,,,,,,,,16.69271968,,,,,,,44929.76665,,4.492976665
2000,0.352,212.8911018,7,73,,,,,,,,34.28983146,,,,,,,21289.11018,,2.128911018
