Seed,Density,Execution ,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality,time mean,time median,op mean,op median,time stdv,op stdv,Execution Time,, Time
142,0.379,221.3494778,10,61,,,,,0.27027027,0.431654676,0.318685592,3.13787911,,,,,,,2.213494778,,16.98184013
143,0.578,582.1382999,0,91,,,,,0,0.647482014,0.194244604,5.148121645,,,,,,,5.821382999,,16.96586609
147,0.394,389.9691105,19,113,,,,,0.513513514,0.805755396,0.601186078,1.663375738,,,,,,,3.899691105,,16.08395576
148,0.3685,339.9226665,0,97,,,,,0,0.690647482,0.207194245,4.826365595,,,,,,,3.399226665,,18.08476448
149,0.388,343.1041241,18,57,,,,,0.486486486,0.402877698,0.46140385,2.167294081,,,,,,,3.431041241,,18.54729652
151,0.388,377.2449493,0,59,,,,,0,0.417266187,0.125179856,7.988441931,,,,,,,3.772449493,,21.06356621
153,0.4605,418.7569618,0,68,,,,,0,0.482014388,0.144604317,6.915375063,,,,,,,4.187569618,,17.80867577
154,0.388,363.7022972,0,55,,,,,0,0.388489209,0.116546763,8.580173294,,,,,,,3.637022972,,19.90842819
155,0.513,433.7925911,0,36,,,,,0,0.251798561,0.075539568,13.23791999,,,,,,,4.337925911,,17.14277267
156,0.381,392.7202225,0,79,,,,,0,0.561151079,0.168345324,5.940135655,,,,,,,3.927202225,,15.47122002
158,0.44,400.1202583,0,75,,,,,0,0.532374101,0.15971223,6.261222058,,,,,,,4.001202583,,17.86446571
159,0.456,373.4693527,0,5,,,,,0,0.028776978,0.008633094,115.8199175,,,,,,,3.734693527,,20.99227905
160,0.3695,390.3119564,0,85,,,,,0,0.604316547,0.181294964,5.515842591,,,,,,,3.903119564,,19.5608139
161,0.395,258.0654621,7,79,,,,,0.189189189,0.561151079,0.300777756,3.32470289,,,,,,,2.580654621,,17.29846001
162,0.3575,362.7548218,0,95,,,,,0,0.676258993,0.202877698,4.929053718,,,,,,,3.627548218,,17.31014252
164,0.476,364.8517132,0,21,,,,,0,0.143884892,0.043165468,23.16612998,,,,,,,3.648517132,,21.70825005
165,0.4505,439.2464161,0,19,,,,,0,0.129496403,0.038848921,25.74007817,,,,,,,4.392464161,,14.09697533
166,0.377,344.2392349,0,93,,,,,0,0.661870504,0.198561151,5.036206521,,,,,,,3.442392349,,27.84562111
168,0.4125,425.1964092,0,71,,,,,0,0.503597122,0.151079137,6.619003808,,,,,,,4.251964092,,13.25654984
170,0.4885,444.0021515,0,83,,,,,0,0.589928058,0.176978417,5.650374577,,,,,,,4.440021515,,20.5116272
172,0.4365,422.6036072,10,81,,,,,0.27027027,0.575539568,0.36185106,2.763560337,,,,,,,4.226036072,,21.64387703
174,0.413,373.061657,0,52,,,,,0,0.366906475,0.110071942,9.084884784,,,,,,,3.73061657,,17.2252655
176,0.4045,308.8846207,25,92,,,,,0.675675676,0.654676259,0.669375851,1.493926775,,,,,,,3.088846207,,18.45288277
181,0.4505,442.4190521,0,6,,,,,0,0.035971223,0.010791367,92.65808035,,,,,,,4.424190521,,8.993625641
184,0.4585,505.5067539,0,6,,,,,0,0.035971223,0.010791367,92.65808035,,,,,,,5.055067539,,14.0004158
187,0.4115,352.4904251,0,50,,,,,0,0.352517986,0.105755396,9.455692902,,,,,,,3.524904251,,18.92614365
188,0.3685,387.3291016,0,45,,,,,0,0.316546763,0.094964029,10.53019214,,,,,,,3.873291016,,16.93558693
190,0.3475,249.0913868,30,87,,,,,0.810810811,0.618705036,0.753179078,1.327703731,,,,,,,2.490913868,,26.94272995
191,0.388,305.1528931,23,80,,,,,0.621621622,0.568345324,0.605638732,1.651146625,,,,,,,3.051528931,,18.57566833
192,0.3675,347.5592136,0,51,,,,,0,0.35971223,0.107913669,9.266580796,,,,,,,3.475592136,,21.38280869
193,0.3855,391.9193745,0,81,,,,,0,0.575539568,0.172661871,5.791633123,,,,,,,3.919193745,,15.50292969
195,0.348,368.4997559,0,102,,,,,0,0.726618705,0.217985612,4.587437701,,,,,,,3.684997559,,25.95615387
196,0.377,337.448597,13,91,,,,,0.351351351,0.647482014,0.44019055,2.271738291,,,,,,,3.37448597,,17.93861389
197,0.3575,340.9342766,0,53,,,,,0,0.374100719,0.112230216,8.910177018,,,,,,,3.409342766,,18.6817646
198,0.424,273.5722065,24,64,,,,,0.648648649,0.45323741,0.590025277,1.69483977,,,,,,,2.735722065,,18.08834076
199,0.385,379.4770241,0,82,,,,,0,0.582733813,0.174820144,5.720131889,,,,,,,3.794770241,,18.78285408
203,0.3885,389.0216351,0,23,,,,,0,0.158273381,0.047482014,21.06016252,,,,,,,3.890216351,,17.35091209
205,0.3275,289.3929482,16,125,,,,,0.432432432,0.892086331,0.570328602,1.753372079,,,,,,,2.893929482,,16.37887955
208,0.3325,276.6427994,0,44,,,,,0,0.309352518,0.092805755,10.77507769,,,,,,,2.766427994,,24.05691147
