Seed,Density,Execution Time,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality
1280,0.446,23.65732193,98,3678,,,,,0.266666667,0.724606885,0.404048732,2.474942861
1281,0.4015,24.59192276,92,3839,,,,,0.066666667,0.793030174,0.284575719,3.513990898
1282,0.3835,25.23589134,90,3949,,,,,0,0.839779006,0.251933702,3.96928249
1284,0.475,22.48978615,110,3528,,,,,0.666666667,0.660858479,0.66492421,1.503928539
1288,0.445,22.6650238,92,3502,,,,,0.066666667,0.649808755,0.241609293,4.138896515
1289,0.365,25.46262741,90,3955,,,,,0,0.842328942,0.252698683,3.957266547
1292,0.3645,25.73609352,90,4001,,,,,0,0.861878453,0.258563536,3.86750641
1293,0.4235,23.56243134,92,3678,,,,,0.066666667,0.724606885,0.264048732,3.787165365
1295,0.414,24.19066429,96,3789,,,,,0.2,0.771780705,0.371534212,2.69153493
1298,0.4045,23.68998528,92,3718,,,,,0.066666667,0.74160646,0.269148605,3.715405792
1299,0.398,24.40881729,92,3825,,,,,0.066666667,0.787080323,0.282790764,3.536170882
1300,0.379,25.3880024,90,3957,,,,,0,0.843178921,0.252953676,3.953277382
1301,0.4035,24.11985397,90,3775,,,,,0,0.765830854,0.229749256,4.352552272
1302,0.555,19.13762093,94,2976,,,,,0.133333333,0.426264343,0.221212636,4.520516983
1303,0.364,26.43370628,92,4063,,,,,0.066666667,0.888227794,0.313135005,3.193500537
1304,0.5285,19.90771294,114,3129,,,,,0.8,0.491287718,0.707386315,1.413652717
1305,0.4205,23.41508865,90,3664,,,,,0,0.718657034,0.21559711,4.638259582
1307,0.3315,27.55665779,90,4196,,,,,0,0.944751381,0.283425414,3.528252659
1310,0.42,23.79465103,92,3716,,,,,0.066666667,0.740756481,0.268893611,3.718929124
1311,0.406,24.16324615,90,3771,,,,,0,0.764130897,0.229239269,4.362235328
1313,0.386,25.53892136,90,4000,,,,,0,0.861453464,0.258436039,3.869414398
1315,0.618,15.27309418,94,2447,,,,,0.133333333,0.201444964,0.153766822,6.503311185
1316,0.3565,27.29678154,96,4233,,,,,0.2,0.960475988,0.428142796,2.335663878
1322,0.44,23.72932434,102,3690,,,,,0.4,0.729706757,0.498912027,2.004357364
1324,0.4465,23.06842804,94,3609,,,,,0.133333333,0.695282618,0.301918119,3.312145333
1327,0.3675,26.32594109,92,4072,,,,,0.066666667,0.892052699,0.314282476,3.18184084
1328,0.584,17.23527908,90,2694,,,,,0,0.30641734,0.091925202,10.87829128
1329,0.4355,23.92601967,98,3753,,,,,0.266666667,0.756481088,0.413610993,2.417724865
1331,0.399,23.25415611,90,3831,,,,,0,0.789630259,0.236889078,4.221367182
1332,0.3945,23.81706238,98,3855,,,,,0.266666667,0.799830004,0.426615668,2.344024683
1335,0.368,25.359869,90,4086,,,,,0,0.89800255,0.269400765,3.711928168
1336,0.455,22.22514153,96,3511,,,,,0.2,0.653633659,0.336090098,2.975383777
1337,0.5165,19.43325996,94,3133,,,,,0.133333333,0.492987675,0.241229636,4.145410454
1338,0.39,24.46746826,90,3817,,,,,0,0.783680408,0.235104122,4.253416471
1339,0.394,22.69768715,92,3725,,,,,0.066666667,0.744581385,0.270041082,3.703126533
1340,0.369,24.71637726,90,3896,,,,,0,0.817254569,0.245176371,4.078679845
1341,0.346,26.7329216,92,4153,,,,,0.066666667,0.926476838,0.324609718,3.080613006
1342,0.4575,22.87459373,90,3562,,,,,0,0.675308117,0.202592435,4.935994096
1344,0.375,25.58922768,92,3976,,,,,0.066666667,0.851253719,0.302042782,3.3107783
1346,0.3635,25.39110184,90,3957,,,,,0,0.843178921,0.252953676,3.953277382
1347,0.37,24.16443825,94,3805,,,,,0.133333333,0.778580535,0.326907494,3.058959979
1348,0.379,25.4034996,90,3977,,,,,0,0.851678708,0.255503612,3.913823671
1349,0.372,25.60830116,90,4017,,,,,0,0.868678283,0.260603485,3.837232503
1352,0.43,23.39100838,92,3652,,,,,0.066666667,0.713557161,0.260733815,3.835314436
1353,0.376,25.36392212,90,3968,,,,,0,0.847853804,0.254356141,3.931479949
1354,0.341,27.06480026,90,4209,,,,,0,0.950276243,0.285082873,3.507739634
1357,0.362,25.98166466,92,4069,,,,,0.066666667,0.890777731,0.313899986,3.185717934
1358,0.417,26.59749985,102,3644,,,,,0.4,0.710157246,0.493047174,2.028199379
1359,0.426,23.83375168,96,3818,,,,,0.2,0.784105397,0.375231619,2.665013511
1360,0.465,21.82412148,90,3580,,,,,0,0.682957926,0.204887378,4.880706318
1365,0.424,21.34180069,92,3473,,,,,0.066666667,0.637484063,0.237911886,4.203219165
1368,0.402,24.94812012,92,3805,,,,,0.066666667,0.778580535,0.280240827,3.568346701
1369,0.334,26.82757378,90,4182,,,,,0,0.93880153,0.281640459,3.550613619
1372,0.408,24.27196503,94,3848,,,,,0.133333333,0.796855079,0.332389857,3.008506339
1375,0.3335,27.01377869,90,4286,,,,,0,0.983000425,0.294900127,3.390967028
1376,0.345,26.74460411,92,4110,,,,,0.066666667,0.908202295,0.319127355,3.133535406
1378,0.354,25.7434845,92,4055,,,,,0.066666667,0.884827879,0.31211503,3.203936685
1379,0.38,24.98936653,90,3992,,,,,0,0.858053549,0.257416065,3.884746342
1380,0.4065,23.99563789,94,3846,,,,,0.133333333,0.7960051,0.332134863,3.010816086
1381,0.405,23.78702164,94,3798,,,,,0.133333333,0.77560561,0.326015016,3.067333965
1382,0.3965,23.63681793,92,3726,,,,,0.066666667,0.745006375,0.270168579,3.701378976
1384,0.365,25.53725243,90,3961,,,,,0,0.844878878,0.253463663,3.945323133
1388,0.396,24.63269234,100,3959,,,,,0.333333333,0.844028899,0.486542003,2.055316783
1389,0.4155,23.24342728,90,3702,,,,,0,0.73480663,0.220441989,4.536320274
1390,0.3595,25.61450005,90,4058,,,,,0,0.886102847,0.265830854,3.761776417
1391,0.353,25.69890022,94,4112,,,,,0.133333333,0.909052274,0.366049015,2.731867116
1392,0.4275,23.04601669,98,3663,,,,,0.266666667,0.718232044,0.40213628,2.486712996
1393,0.3875,24.64127541,92,3923,,,,,0.066666667,0.828729282,0.295285451,3.386542105
1394,0.4385,22.39370346,90,3543,,,,,0,0.667233319,0.200169996,4.995728758
1395,0.37,25.29931068,92,4057,,,,,0.066666667,0.885677858,0.312370024,3.201321259
1396,0.4125,23.95176888,92,3785,,,,,0.066666667,0.770080748,0.277690891,3.601113436
1398,0.4025,23.59747887,100,3773,,,,,0.333333333,0.764980875,0.462827596,2.160627085
1400,0.3735,24.81341362,92,3928,,,,,0.066666667,0.830854229,0.295922935,3.379246762
1401,0.4225,23.26416969,90,3701,,,,,0,0.73438164,0.220314492,4.538945447
1402,0.411,22.49598503,108,3451,,,,,0.6,0.628134297,0.608440289,1.643543951
1403,0.374,25.16007423,94,4016,,,,,0.133333333,0.868253294,0.353809321,2.826373171
1405,0.379,24.70016479,90,3935,,,,,0,0.833829154,0.250148746,3.997605494
1407,0.389,23.1025219,94,3692,,,,,0.133333333,0.730556736,0.312500354,3.199986133
1410,0.3925,24.55854416,90,3935,,,,,0,0.833829154,0.250148746,3.997605494
1412,0.4035,23.58484268,94,3731,,,,,0.133333333,0.747131322,0.31747273,3.149866921
1413,0.448,21.86512947,92,3484,,,,,0.066666667,0.642158946,0.23931435,4.178586948
1414,0.375,24.54614639,92,3948,,,,,0.066666667,0.839354016,0.298472872,3.350377019
1415,0.4025,23.82850647,92,3813,,,,,0.066666667,0.78198045,0.281260802,3.555406364
1417,0.5415,18.97883415,92,2981,,,,,0.066666667,0.42838929,0.175183454,5.708269076
1418,0.42,22.96209335,92,3677,,,,,0.066666667,0.724181895,0.263921235,3.788994887
1419,0.3505,26.06534958,92,4091,,,,,0.066666667,0.900127497,0.316704916,3.157503382
1420,0.401,24.37138557,94,3885,,,,,0.133333333,0.812579686,0.337107239,2.966406288
1421,0.4305,23.0307579,92,3653,,,,,0.066666667,0.71398215,0.260861312,3.833439921
1423,0.4,23.99873734,90,3809,,,,,0,0.780280493,0.234084148,4.271949797
1425,0.3305,27.21905708,96,4298,,,,,0.2,0.988100297,0.436430089,2.291312477
1426,0.3805,25.22754669,104,3959,,,,,0.466666667,0.844028899,0.579875336,1.724505618
1427,0.38,24.41596985,100,3871,,,,,0.333333333,0.806629834,0.475322284,2.103831296
1429,0.418,23.45776558,92,3747,,,,,0.066666667,0.753931152,0.272846012,3.665057543
1430,0.3995,24.29008484,92,3851,,,,,0.066666667,0.798130047,0.286105681,3.495199754
1432,0.4195,22.68648148,90,3617,,,,,0,0.698682533,0.20960476,4.770861261
1435,0.3545,25.88772774,90,4114,,,,,0,0.909902252,0.272970676,3.663383746
1436,0.415,23.03195,90,3665,,,,,0,0.719082023,0.215724607,4.635518307
1437,0.362,25.54297447,90,4085,,,,,0,0.897577561,0.269273268,3.713685703
