Seed,Density,Execution Time,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality
910,0.377,18.13673973,92,2641,,,,,0.066666667,0.315763906,0.141395838,7.072293917
911,0.3575,18.27692986,90,2614,,,,,0,0.309205732,0.09276172,10.78019277
913,0.3755,15.43951035,92,2239,,,,,0.066666667,0.21811999,0.112102664,8.92031506
914,0.4055,18.69750023,90,2642,,,,,0,0.316006801,0.09480204,10.54818492
915,0.488,13.09633255,90,1855,,,,,0,0.12484819,0.037454457,26.69837927
917,0.4295,24.50323105,100,3521,,,,,0.333333333,0.52951178,0.392186867,2.549798408
918,0.4235,12.63332367,102,1845,,,,,0.4,0.122419237,0.316725771,3.15729547
919,0.4015,15.77782631,94,2316,,,,,0.133333333,0.236822929,0.164380212,6.083420283
920,0.4155,18.53704453,94,2651,,,,,0.133333333,0.318192859,0.188791191,5.296829253
921,0.4625,19.68050003,92,2854,,,,,0.066666667,0.367500607,0.156916849,6.372761336
922,0.3765,17.34900475,90,2524,,,,,0,0.287345154,0.086203546,11.60031626
924,0.3565,16.9878006,90,2470,,,,,0,0.274228807,0.082268642,12.15515193
925,0.356,13.94033432,100,2026,,,,,0.333333333,0.166383289,0.28324832,3.530458608
926,0.6665,13.12541962,102,1950,,,,,0.4,0.147923245,0.324376974,3.082823378
927,0.328,17.73929596,90,2527,,,,,0,0.28807384,0.086422152,11.57097347
928,0.368,17.60983467,90,2549,,,,,0,0.293417537,0.088025261,11.36024622
931,0.3835,14.37687874,94,2088,,,,,0.133333333,0.181442798,0.147766173,6.767402943
932,0.3665,22.27950096,94,3208,,,,,0.133333333,0.453485548,0.229378998,4.359578037
934,0.3865,18.40162277,90,2605,,,,,0,0.307019675,0.092105902,10.85694964
936,0.384,22.47476578,94,3231,,,,,0.133333333,0.45907214,0.231054975,4.32795559
937,0.464,18.62978935,98,2616,,,,,0.266666667,0.309691523,0.279574124,3.57685615
938,0.352,26.64256096,94,3739,,,,,0.133333333,0.582462958,0.268072221,3.730324113
939,0.3395,19.88554001,90,2757,,,,,0,0.343939762,0.103181929,9.691525659
942,0.382,20.43938637,90,2725,,,,,0,0.336167112,0.100850134,9.915604955
943,0.398,17.21262932,90,2295,,,,,0,0.231722128,0.069516638,14.3848385
944,0.369,29.40368652,100,3860,,,,,0.333333333,0.611853291,0.416889321,2.398712444
945,0.3925,15.35511017,94,2276,,,,,0.133333333,0.227107117,0.161465468,6.193236342
946,0.373,18.20969582,90,2621,,,,,0,0.310906,0.0932718,10.72123922
948,0.4635,10.15663147,98,1498,,,,,0.266666667,0.038134564,0.198107036,5.047750817
950,0.365,19.69790459,96,2835,,,,,0.2,0.362885596,0.248865679,4.018215715
954,0.534,14.25433159,90,2082,,,,,0,0.179985426,0.053995628,18.51967501
956,0.4035,13.55171204,96,1960,,,,,0.2,0.150352198,0.185105659,5.402290782
958,0.431,19.3426609,92,2778,,,,,0.066666667,0.349040564,0.151378836,6.605899625
959,0.4375,12.70580292,96,1860,,,,,0.2,0.126062667,0.1778188,5.623670702
960,0.3725,26.00646019,100,3760,,,,,0.333333333,0.58756376,0.409602461,2.441385619
965,0.3945,20.63941956,96,3127,,,,,0.2,0.433811027,0.270143308,3.701725224
967,0.4845,12.99214363,92,1900,,,,,0.066666667,0.135778479,0.087400211,11.44148913
968,0.376,17.93789864,90,2654,,,,,0,0.318921545,0.095676463,10.4517821
969,0.3795,19.76823807,92,2912,,,,,0.066666667,0.381588535,0.161143227,6.205620995
970,0.35,19.15740967,92,2787,,,,,0.066666667,0.351226621,0.152034653,6.577404575
971,0.3645,14.16993141,92,2112,,,,,0.066666667,0.187272286,0.102848352,9.722958648
974,0.411,22.70150185,102,3354,,,,,0.4,0.488948263,0.426684479,2.343646665
975,0.361,18.0850029,94,2626,,,,,0.133333333,0.312120476,0.186969476,5.348438002
977,0.421,18.64719391,92,2728,,,,,0.066666667,0.336895798,0.147735406,6.768812284
978,0.3865,31.062603,106,4611,,,,,0.533333333,0.794267671,0.611613635,1.635016469
980,0.3835,13.84711266,94,2082,,,,,0.133333333,0.179985426,0.147328961,6.787485666
981,0.3755,15.86318016,90,2365,,,,,0,0.2487248,0.07461744,13.40151311
982,0.4395,18.06616783,98,2653,,,,,0.266666667,0.31867865,0.282270262,3.542691504
985,0.3545,16.75105095,92,2484,,,,,0.066666667,0.277629342,0.129955469,7.694884343
987,0.3855,17.4870491,92,2567,,,,,0.066666667,0.297789653,0.136003562,7.352694512
988,0.3745,20.9634304,92,2945,,,,,0.066666667,0.389604081,0.163547891,6.114379589
990,0.4875,19.79613304,92,2652,,,,,0.066666667,0.318435754,0.142197393,7.032428282
991,0.359,20.90930939,92,2676,,,,,0.066666667,0.324265242,0.143946239,6.946989784
992,0.382,20.37549019,96,2580,,,,,0.2,0.300947292,0.230284188,4.342441695
997,0.354,16.95799828,90,2526,,,,,0,0.287830945,0.086349283,11.5807379
1001,0.3435,17.39311218,90,2534,,,,,0,0.289774107,0.086932232,11.50308087
1002,0.404,16.91222191,90,2497,,,,,0,0.280786981,0.084236094,11.87125469
1003,0.374,21.25263214,94,3126,,,,,0.133333333,0.433568132,0.223403773,4.476180104
1005,0.3595,16.62755013,90,2439,,,,,0,0.266699053,0.080009716,12.49832588
1006,0.3895,18.01514626,94,2529,,,,,0.133333333,0.288559631,0.179901223,5.558575018
1009,0.434,16.43943787,90,2377,,,,,0,0.251639543,0.075491863,13.24628528
1011,0.509,17.75860786,90,2520,,,,,0,0.286373573,0.085912072,11.63967226
1014,0.4175,17.25459099,90,2474,,,,,0,0.275200389,0.082560117,12.11223929
1015,0.387,20.3537941,92,2900,,,,,0.066666667,0.378673792,0.160268804,6.239478518
1016,0.3735,15.99979401,92,2324,,,,,0.066666667,0.238766092,0.118296494,8.45326443
1019,0.4805,12.88700104,90,1919,,,,,0,0.14039349,0.042118047,23.74222753
1020,0.5265,19.12593842,98,2790,,,,,0.266666667,0.351955307,0.292253259,3.42167811
1021,0.424,20.35665512,96,2979,,,,,0.2,0.397862521,0.259358756,3.855648286
1022,0.376,19.64783669,94,2866,,,,,0.133333333,0.370415351,0.204457939,4.890957601
1027,0.5015,12.32266426,94,1828,,,,,0.133333333,0.118290017,0.128820338,7.762689102
1028,0.3835,15.72322845,90,2293,,,,,0,0.231236337,0.069370901,14.41505831
1031,0.4505,13.59248161,90,2014,,,,,0,0.163468545,0.049040564,20.39086702
1032,0.3465,17.01998711,90,2522,,,,,0,0.286859364,0.086057809,11.61996094
1037,0.412,17.58337021,90,2527,,,,,0,0.28807384,0.086422152,11.57097347
1041,0.4195,13.02695274,94,1874,,,,,0.133333333,0.129463201,0.132172294,7.565824923
1042,0.3735,15.08021355,90,2169,,,,,0,0.201117318,0.060335196,16.57379938
1043,0.492,17.71116257,94,2566,,,,,0.133333333,0.297546757,0.182597361,5.47650043
1046,0.428,17.48228073,92,2583,,,,,0.066666667,0.301675978,0.13716946,7.290199364
1047,0.475,15.22660255,92,2244,,,,,0.066666667,0.219334467,0.112467007,8.891417472
1050,0.455,23.73361588,96,3482,,,,,0.2,0.520038863,0.296011659,3.378233902
1052,0.435,23.42271805,100,3452,,,,,0.333333333,0.512752004,0.387158934,2.582911895
1053,0.414,15.52844048,92,2329,,,,,0.066666667,0.239980568,0.118660837,8.427309266
1054,0.351,16.47090912,90,2414,,,,,0,0.26062667,0.078188001,12.78952266
1057,0.3875,15.83242416,90,2349,,,,,0,0.244838475,0.073451542,13.61423264
1060,0.4365,14.03832436,90,2090,,,,,0,0.181928589,0.054578577,18.32187169
1062,0.462,15.14935493,100,2273,,,,,0.333333333,0.226378431,0.301246863,3.319525627
1063,0.4515,19.82045174,90,2866,,,,,0,0.370415351,0.111124605,8.998826124
1064,0.3735,19.3529129,94,2828,,,,,0.133333333,0.361185329,0.201688932,4.958105691
1067,0.366,19.96088028,92,2915,,,,,0.066666667,0.382317221,0.161361833,6.19721395
1068,0.383,23.60224724,94,3490,,,,,0.133333333,0.521982026,0.249927941,4.001137266
1069,0.396,20.55311203,100,3025,,,,,0.333333333,0.409035706,0.356044045,2.808633385
1070,0.428,17.1816349,92,2509,,,,,0.066666667,0.283701725,0.131777184,7.588509489
1072,0.3865,19.0820694,90,2798,,,,,0,0.35389847,0.106169541,9.418808563
1074,0.3515,18.72682571,94,2555,,,,,0.133333333,0.294874909,0.181795806,5.500646694
1076,0.4455,16.14236832,92,2334,,,,,0.066666667,0.241195045,0.11902518,8.401513001
1077,0.3935,16.69073105,94,2423,,,,,0.133333333,0.262812728,0.172177152,5.807937827
1078,0.4035,17.28653908,90,2502,,,,,0,0.282001457,0.084600437,11.82013017
1080,0.4085,18.34702492,92,2480,,,,,0.066666667,0.276657761,0.129663995,7.712181699
1081,0.423,18.28193665,90,2389,,,,,0,0.254554287,0.076366286,13.09461224
1084,0.405,20.61963081,90,2668,,,,,0,0.322322079,0.096696624,10.34151576
1085,0.3865,23.39434624,96,3532,,,,,0.2,0.532183629,0.299655089,3.337158956
1087,0.3995,14.20688629,92,2114,,,,,0.066666667,0.187758076,0.10299409,9.709200743
1088,0.3985,18.46504211,92,2731,,,,,0.066666667,0.337624484,0.147954012,6.758811261
1089,0.456,9.939193726,96,1488,,,,,0.2,0.035705611,0.150711683,6.635141637
1091,0.371,29.20222282,100,4277,,,,,0.333333333,0.713140636,0.447275524,2.235753378
